job_title,comp_name,comp_type,comp_size,region,city,contract,exper,gender,positions,salary
مهندس كهربائي,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,عملاقة,المنطقة الشرقية,AD DAMMAM...,دوام كامل,4,M,1,8400.0
فني أجهزة إلكترونية,شركة الإمدادات التعاونية,خاص,متوسطة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,both,1,4500.0
بائع,شركة عبداللطيف جميل للاليكترونيات واجهزة التكييف المحدودة,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,F,2,6000.0
مدير تسويق,شركة حلال العالمي للتدريب,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,M,10,4000.0
أخصائي تسويق,شركة مزرعة العائلة للتجارة,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,both,15,4000.0
مدير إداري,شركة العمق للاستشارات الهندسية,خاص,صغيرة فئة ب,مكة المكرمة,GHITHAH...,دوام كامل,12,M,1,10000.0
موظف صندوق محاسبة,شركة مزايا الهرم للتجارة المحدودة شركة شخص واحد,خاص,متوسطة فئة أ,الباحة,BILJURASH...,دوام كامل,0,M,1,4000.0
أخصائي تسويق,شركة إلمام المستقبل للتسويق (شركة شخص واحد),خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,20,4000.0
موظف استقبال فندق,شركة بانوراما للوحدات السكنية,خاص,صغيرة فئة ب,المنطقة الشرقية,AD DAMMAM...,دوام كامل,0,M,1,4000.0
أمين مخزن,فرع شركة القمة الفضائية المحدودة,خاص,صغيرة فئة ب,المنطقة الشرقية,AL JUBAIL...,دوام كامل,0,M,1,5000.0
بائع عطور,مؤسسة غصن الكادي للعود,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,0,F,2,4000.0
مدير فرع,شركة نزهة تسوق لتجارة الجملة والتجزئة,خاص,صغيرة فئة ب,القصيم,UNAYZAH...,دوام كامل,0,M,3,6000.0
فني تجهيز طباعة,مؤسسة قرطاسية القصيم لتجارة الجملة و التجزئة,خاص,صغيرة فئة ب,القصيم,BURAYDAH...,دوام كامل,0,both,1,4000.0
مصمم جرافيك,شركة سنا المدينة للتمور,خاص,صغيرة فئة ب,المدينة المنورة,ABAR AL M...,دوام كامل,2,both,1,4000.0
فني تجهيز طباعة,مؤسسة القصيم للخدمات الطلابية,خاص,صغيرة فئة أ,القصيم,BURAYDAH...,دوام كامل,0,both,2,4000.0
حاضنة أطفال,مركز نحو القمه ضيافة الأطفال الأهلية,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,F,10,4000.0
مدرب علوم تطبيقية,المعهد العالي السعودي الياباني للسيارات,خاص,متوسطة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,M,1,5000.0
سكرتير,مؤسسة خالد فيحان نايف النفيعي العقاري,خاص,صغيرة فئة أ,مكة المكرمة,AL HAWIYA...,دوام كامل,0,F,1,4000.0
محاسب,جمعية تعايش معي للرفق بالحيوان,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,both,1,5000.0
منسق زهور,مؤسسة زهور ايفنتو للتجارة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,2,4000.0
مهندس كهربائي,شركة سعيد بن سعد بن بخروش الغامدي للتجارة والمقاولات,خاص,متوسطة فئة ب,الباحة,AL BAHA...,دوام كامل,0,M,1,7000.0
مدير فرع,مصنع بيوتي للصناعة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,4,F,1,5000.0
نادل,مطعم أزيان لتقديم الوجبات,خاص,صغيرة فئة ب,المدينة المنورة,AL MADINA...,دوام كامل,0,F,1,4000.0
كاتب علاقات حكومية,مصنع بيوتي للصناعة,خاص,صغيرة فئة ب,القصيم,BURAYDAH...,دوام كامل,0,F,2,4000.0
